,0
0,Blockbuster Written.. Duniya Me Shri Ram Ji ke Lakho Mandir Hai Bt Ramsetu Sirf Ek.. 
1,Satya Dev is such a wonderful actor. He always plants his character deep into our heart ️.
2,"Hope Bollywood realises that films don't necessarily need love fantasies and romantic songs  .... It is the content without insulting the culture, that matters to audience.. hope this movie will meet it's expectations. Jai Shree Ram️"
3,गर्व से कहो हम भारतीय हैं । ️🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳
4,"राम नाम का महत्व न जाने 
वह विद्वान अभागा है 
जिसके दिल में राम बसे है 
वह परम सौभागा है! 
जय श्री राम .. "
5,I can definitely say akshay sir will comback very strongly with this movies.It’s about to blast on the theatres amazing story and portrayal of our great history .   I Love Akshay sir 
6,This is something we want from Akshay Kumar ️
7,"Ye movie h jo ham sab ko chaiye tha. ️
Love u Akshay paji for this ️"
8,I can definitely say Akshay will comeback very strongly with this movies. It's about to blast on the theatres. Amazing story and portrayal of our great history ️️
9,This movie should be watched by everyone Ram Setu is the biggest archaeological site in the whole world no one can deny it Jai Shree Ram
10,"जो डूबे श्रीराम जी की मस्ती में, चार चांद लग जाते उनकी हस्ती में।"
11,All the best to Ram Setu team. Trailer is quite intresting.
12,Ramsetu flop nahi hona chahiye 
13,if  director and akki  can justify the real story  then the movie could be masterpieces
14,I'm American 🇺🇸 but I love ️ indian culture  Jai Shri Ram ))
15,एक ही शब्द एक ही नाम जय श्री राम जय श्री राम ️
16,"No offensive scene,,, No sexual scene,,, No romantic scene,,, The trailer masterclass "
17,Goosebumps all over it ..2022 is not over yet for Akshay Kumar ️
18,The tune at the last gave me goosebumps
19,"Sabhi apne hindu Bhaiyo ke sath share kro es trailer ko ye Movie SUPER DOOPER HIT honi chahiye
JAI SHREE RAM"
20,"Duniya me Shree Ram k lakho mandir h pr setu sirf ek....
This line had it all ️
JAI SHREE RAM "
21,"Late but bollywood is improving...
Now we all will support this film... ️
Many thanks to Abhishek Sharma and your entire team
#Blockbusterramsetu 
#Akshaykumar"
22,As a South Indian I need this film to be blockbuster of Akshay sir
23,When tone ram ram started my heart beat increase 
24,Very Good job by Akshay ji ️ jai shree Ram 
25,Bhai ye movie flop nhi honi chahiye.... Jay shri Ram 
26,"One of The Best Trailer Of Bollywood,,200s ka Akshay Kumar is Back.."
27,I'm just going to watch this bcuz I wanna be an archaeologist ️️
28,"As a Archaeology  student, I want this film to be Block Buster, and show that how much important Archaeology is.
Best wishes to whole team for success and thank you for creating the movie."
29,I think I'm just happy to see they have revealed a lot less in the trailer. It'll be interesting to see what Akshay is going to find/unfold in his journey to Ram Setu. They might disappoint with VFX but Im sure the storyline would cover it.
30,Let's see how it comes out on theatre screens️
31,"I don't know what people think, but I think this is master piece"
32,"||जय जय श्री राम ||️
Superhitthe legend ️अक्षय सर!!️"
33,Goosebumps all over it ..2022 is not over yet for Akshay Kumar
34,Goosebumps 1000 times... Excited 2000 times
35,"Please do hit the trailer more because this is our dream which is coming true, this is our existence, we all have to give it a super duper hit"
36,Y movie flop nhi honi chahiye ️
37,Vaise Bollywood se koi ummeed to nhi hai ki wo ched chad nhi krega humari sanskriti se... But still hope for the best 
38,"माला से मोती तुम तोड़ा ना करो, धर्म से मुँह तुम मोड़ा ना करो,
बहुत कीमती हैं जय श्री राम का नाम, जय सियाराम बोलना कभी छोड़ा ना करो।"
39,"I'm very excited for thos movie
JAI SHREE RAM "
40,"Goosebumps....
Jai shree ram     "
41,0:48 What a Awesome/divine BGM . Goosebumps 
42,I got goosebumps...Jay Shree Ram
43,Last scene where Akshay lift the stone this scene literally gives the Goosebumps  eger to see Ram setu ️️
44,That Ram Ram theme song gives goosebumps ........ it'll be a blockbuster movie
45,Finally Bollywood ne ek achha kam kiya ️️️
46,एक ही नाम एक नाम जय श्री राम जय श्री राम! ️️
47,That Ram Ram bgm is just outstanding
48,Goosebumps...... Sure shot Superhit
49,"This is something we want from Akshay Kumar ️

Edit : Before you hate him just know that He is ""self made"" star and One of the Highest paid actors in Bollywood.️"
50,Sara Hindustan jaroor dekhene jayga film️jai shree ram️
51,Ram setu block buster movie 
52,Last scene.. Goosebumps all over 
53,Only for Satyadev ️
54,Bhayankar Deshbhakt Akshay Kumar Sahab 🇮🇳
55,That chanting of Ram Ram in BGM .... Goosebumps ️
56,Heartfull thanks to the all the people who contributed in this film that bring the real truth before the world that Ramayana is not a imajinary story but it is real history and culture of our country
57,"Duniya mein hazar RAM Mandir hai
lekin Ram setu ek hi hai ️ GOOSEBUMPS
JAI SHREE RAM"
58,This has such a different vibe than the regular bollywood ones 
59,That Ram Ram bgm is just outstanding
60,Come on let's revive akshay Kumar carrier 
61,"That bgm is giving goosebumps,
Jai Shree Ram"
62,old Akshay is back 
63,Ram Setu 
64,"GOOSEBUMPS

JAI SHREE RAM"
65,1:39 goosebumps 
66,गर्व है हमे हिन्दू होने पर
67,What a amezing trailer for a king of bollywood..... Great ️
68,Haters k dar se hi is baar pramotion nhi kr rhe akki ......it's good
69,"2022 is still not over for Akshay Kumar sir. 
Mind blowing trailer
Goosebumps️"
70,This is something we want from Bollywood 
71,True lines   गीता से ज्ञान मिला️ रामायण से राम ️भाग्य से हिन्दू धर्म मिला️ और किस्मत से हिन्दुस्तान ️ हर हर महादेव।     
72,Blockbuster movie  only you can do this akkii .
73,Wow!! Nice trailer !! waiting for the film!!!!
74,"गर्व से कहो की हम श्री राम जी की धरती पर जन्म लिया है, जय श्री राम "
75,This movie will be blockbuster. Love the bgm and all the scene 
76,what a trailor!! I loved it .and last line was awsome.............
77,Wow this movie made akshay kumar 
78,Lets all appreciate the content this man and his crew makes its just a masterpice imagine what's he's gonna doing in the future 
79,"2 blockbuster movies on 1 day only 
Thankgod
Ramsetu"
80,1:30 the best scene in the whole trailer 
81,Can we all appreciate the content this man and his crew makes its just a masterpice imagine what's he's gonna doing in the future 
82,Am proud to be an Indian
83,Superb...  It's called a blockbuster movie.... Hats of you akshya sir️️️️️
84,I am waiting ramsetu with Akshay Kumar 
85,After this my respect for akshay Kumar increased by 1000%
86,Finally akki sir you got selected the right subject I love it trailer
87,Unique concept Bollywood is back 
88,Waiting.... waiting 
89,Eagerly waiting 
90,Ye movie h jo ham sab ko chaiye tha.  Love u Akshay paji for this
91,"Goosebumps every moment.
Great BGM
great dialogues
Kudos to the team of Ram Setu
Jai Shree Ram ️"
92,"Finally, loving it already, can not wait to see it on bigscreen ."
93,"You are too good Akshay! The real superstar!!
Superb trailer and a very good concept. Sure shot super hit!
Best wishes "
94,"What a background BGM
This movie goes blockbuster "
95,wow seems so good. Can't wait to watch this. Akshay Kumar's film always worth to watch.
96,"Real movie is back 
Jai shree ram "
97,goosebumps 
98,"Boy this trailer gave me goosebumps.
Too good "
99,"Bollywood doing a new start...ahh!! I am so happy...I thought bollywood is finished 
But there is some heartbeat left"
100,"Duniya me Shri Ram ji ke lakho mandir hai but Ramsetu sirf ek ️️
And loved BGM also️
I can definitely say that Akshay sir will comeback with Ram Setu."
101,Goosebumps!
102,0:44 Goosebumps starts from here
103,Respect akshay kumar acting
104,Ram Ram it's outstanding bgm lv it ...ATB 
105,After long time our khiladi was back
106,1:28 this is the best bgm ever that ram ram was unbelievable
107,This type of cinema will always be apriciated.....
108,Jai shree Ram ️️ really excited for this one finally a quality content from Bollywood ️
109,"Only Khiladi Can Do This ️
Waiting For 1st Day ️
#AkshayKumar️"
110,Wow after so many years Bollywood have presented a blockbuster movie
111,1:29 part where Lord Shri Ram ji holds Akshay's hand in cameo appearance
112,Waiting for blockbuster 
113,"1:39 Best dialogue of the movie 

''Duniya me raam mandir to lakho hai
Lekin setu sirf ek"" "
114,This is something we want from Akshay Kumar ️
115,Blockbuster movie....only akki sir can do it.... दुनिया में श्रीराम के लाखो मंदिर है लेकिन सेतु सिर्फ एक....absolutely genius
116,All the best akki
117,"जय श्री राम 
First time proud to Bollywood industry"
118,"Khiladi come back.. 
जय श्री राम"
119,Now this is wat u call a true bollywood original concept..it may have a big star or good actor doesn't matter if content is good.  trailer ending was goosebumps ..jai shree ram
120,#RamSetu Trailer is very Good  looks like Intresting concept  Waiting for this movie  All the best #AkshayKumar & Entire Team from #SuperstarMAHESHBABU fan's 
121,Can't wait for this movie 
122,"Akshay Bhai ko akal kisne di ️️ Jay Shree Ram, Happy diwali guys ,"
123,"I am excited, wow...
Goosebump Aa gaya yaar,"
124,all time blockbuster movie akki sir
125,"Akshay Kumar is back finally,his most awaited film for me after Sooryavanshi "
126,"One of the best thing about dude is that he never takes credit for himself when he archives something He always respect us, the audience and his team and he is polite in all his videos We congratulate ourselves on this achievement More to come.."
127,Looking forward to it. ️
128,This is something we want from Akshay Kumar 
129,देर से आए pr दुरसत आए अक्षय सर 
130,"रामायण से राम मिले,
और गीता से मिल गया ज्ञान
सौभाग्य से हिंदु धर्म मिला,
और किस्मत से हिंदुस्तान 

बोलो जय श्री राम "
131,We should respectful to our own resources because those are our history. ️
132,Background music ram ram  gives goosebumps..️
133,Bgm was rapchik
134,The graphics are mind blowing. It blew my mind from my skull into the universe.
135,Bollywood is back ️
136,"NO one can Beat #AkshayKumar ️
JAI SHREE RAM  जय श्री राम "
137,Akshay sir will wait for blockbuster film ️
138,Amazing trailer separate fan base is going to create for its BPM 
139,"🇮🇳Bas abhi entertainment bhi hai and content bhi  , no added artificial sweeteners mera matlab remake nahi hai,   and no hate or insult of culture 
Jay shree ram "
140,Kis kisko indian 🇮🇳 hone pe proud  hai
141,Tha last dialogue is all set to create mayhem at the theatres 
142,"जो दुनिया के लिए मिस्ट्री है, 
    वो हमारी हिस्ट्री है.... 
  जय श्री राम "
143,Jay sri Ram...  The theme Ram Ram Ram ram literally gives goosebumps... I gonna  watch it
144,"What a Mind-blowing Trailer 
SURESHOT BLOCKBUSTER"
145,Masterpiece 
146,"Proud to be nepali
Jay Sanatani jay sri ram"
147,"""Duniya mai  Ram ji ke Lakho Mandir hai par Setu ek"" Dialogue was Epic..."
148,His simplicity is the main reason to his groth ️
149,"Akshay kumar is Back
#Pure Goosebumps"
150,Now this is the Bollywood I want. Not just chamiyagiri.
151,Ram ram ram theme was really goosebumps 
152,"Akshay Kumar sir is such a versatile actor..huge respect for him
Ram Setu is going to be  blockbuster for sureAll the best to the entire team"
153,"This man always tries to do something new extraordinary and makes his audience feel excited  For every next video , hats off to him "
154,I love this kind of films ️ definitely gonna watch it
155,Blockbuster fire  h  abb aya kuch asli bollywood se
156,Ram ram ram theme was really goosebumps 
157,This will be second blockbuster from the Bollywood this year.
158,"Always trust on akki , he will never disappoint us"
159,This man proved everyone that he can entertain anyone without using derogatory words......Love Your Work.
160,1:23 got goosebumps literally 
161,"Super awesome trailor, And I really wish all the best to the movie and all the best to all of us Indians to protect our own authentic and real golden history of India. Jai Hind! Jai Bharat! At least an Indian should not use the word 'mythology' given to us by British. Love you Hindustan!
All the best Akshay Kumar and entire team!"
162,Ye flop nhi honi chahiye aag laga dena Akshay sir 
163,1:24 Astronaut in the ocean.......btw so happy to see that finally apne glorius culture Ko promote Kara jaa raha hai from few years I was disappointed from Akshay  but finally this is the comeback so excited to watch this Ram setu bhi ek hi hai aur bhagwaan bhi humare Shree Ram ek hi hain Jay Shree Ram#liveforbhagwa
164,This is what we wanted from Akshay Kumar ️
165,"What a bgm amazing
GOOSEBUMS "
166,Super excited to watch  beautiful trailer can't wait to watch 
167,Block buster hit karna hai Sri Ram Ji k liye taki sab log jaan sake Ram Ji Ko 
168,Happy to see Satya Dev in this after Godfather movie. Finally he is getting f the recognition he deserved!   I am happy for your bollywood debut
169,"Trailer looks good, movie should be amazing "
170,1:23 This time  goose bumps 
171,This is a Masterpiece 
172,Ak is back fully excited for this movie
173,Waiting to watch this movie 
174,"Whenever someone says ""Ek insaan hai jo yeh kar sakta hai"".. I understand who he is.."
175,मुझे अपने भारतीय होने पर गर्व है ! जय श्री राम_जय श्री राम.......
176,"Akshay sir always rock with his performance 
1 or 2 year does not change his legacy "
177,"It's not Bollywood                                  
It's actually Bollywood 
tollywood never fall to disapoint us"
178,"Hope Bollywood realises that films don't necessarily need love fantasies and romantic songs  .... It is the content without insulting the culture, that matters to audience.. hope this movie will meet it's expectations. Jai shree Ram️"
179,"One of The Best Trailer Of Bollywood,,200s ka Akshay Kumar is Back.."
180,"I don't know what people think, but I think this is master piece"
181,I can definitely say akshay sir will comback very strongly with this movies.It’s about to blast on the theatres amazing story and portrayal of our great history .   I Love Akshay sir
182,Can we all appreciate the content this man and his crew makes its just a masterpice imagine what's he's gonna doing in the future 
183,As a South Indian I need this film to be blockbuster of Akshay sir
184,"No offensive scene,,, No sexual scene,,, No romantic scene,,, The trailer masterclass "
185,"गरज उठे गगन सारा, समुद्र छोड़ें अपना
किनारा, हिल जाए जहान सारा, जब गूंजे
जय श्री राम का नारा. जय श्री राम."
186,Blockbuster Written.. Duniya Me Shri Ram Ji ke Lakho Mandir Hai Bt Ramsetu Sirf Ek.. 
